street_address_and_name,zipcode,city,use_code,tax_assessment_year,tax_assessment_value,year_built,lot_size,finished_square_feet,bathrooms,bedrooms,zestimate_amount,region_name,region_type
5122 Meridian St,90042,LOS ANGELES,MultiFamily2To4,2018,1020510,1950,5401,2259,4,4,1154998,Highland Park,neighborhood
4304 Saltillo St,91364,WOODLAND HILLS,SingleFamily,2018,235043,1925,3547,1168,2,2,695100,Woodland Hills,neighborhood
2615 Michigan Ave,90033,LOS ANGELES,Triplex,2018,236461,1922,9066,2111,3,5,609412,Boyle Heights,neighborhood
12112 Stewarton Dr,91326,PORTER RANCH,SingleFamily,2018,769e3,1976,6969,2783,3,4,855637,Porter Ranch,neighborhood
1000 S Grand Ave APT 546,90015,Los Angeles,Apartment,NA,NA,NA,NA,1288,2,2,NA,Downtown,neighborhood
13345 Sayre St,91342,SYLMAR,SingleFamily,2018,464754,1955,8712,1983,2,4,590883,Sylmar,neighborhood
1947 Norwalk Ave,90041,LOS ANGELES,SingleFamily,2018,343420,1922,4225,1295,2,1,802308,Eagle Rock,neighborhood
531 N Bandini St,90731,SAN PEDRO,SingleFamily,2018,41098,1940,4400,1187,1,3,537769,San Pedro,neighborhood
9886 Rimmele Dr,90210,BEVERLY HILLS,SingleFamily,2018,292029,1948,10559,938,1,2,1263435,Beverly Crest,neighborhood
17166 Mckeever St,91344,GRANADA HILLS,SingleFamily,2018,211228,1954,7626,1352,2,4,624149,Granada Hills,neighborhood
1546 N Harvard Blvd,90027,Los Angeles,Apartment,NA,NA,NA,NA,NA,1,2,NA,Hollywood,neighborhood
23905 Sylvan St,91367,WOODLAND HILLS,SingleFamily,2018,253918,1960,7251,1150,2,3,636262,Woodland Hills,neighborhood
320 S Boyle Ave,90033,LOS ANGELES,MultiFamily2To4,2018,205878,1896,7003,3138,3,6,809127,Boyle Heights,neighborhood
2407 Harwood St,90031,LOS ANGELES,MultiFamily2To4,2018,865e3,1930,6098,2664,4,8,908927,Elysian Valley,neighborhood
4918 Lynn St,90042,LOS ANGELES,SingleFamily,2018,61351,1956,7052,1032,1,3,806349,Mount Washington,neighborhood
3435 London St,90026,LOS ANGELES,SingleFamily,2018,42867,1922,5207,1112,2,4,870996,Silver Lake,neighborhood
22708 Berdon St,91367,WOODLAND HILLS,SingleFamily,2018,351953,1952,6749,2180,3,4,818522,Woodland Hills,neighborhood
4468 W 2nd St,90004,LOS ANGELES,Apartment,2018,932185,1940,9265,1400,2,2,NA,Mid Wilshire,neighborhood
5551 Huntington Drive North,90032,Los Angeles,Miscellaneous,NA,NA,1958,10459,NA,NA,NA,NA,El Sereno,neighborhood
4866 Rosa Rd,91364,WOODLAND HILLS,SingleFamily,2018,125835,1966,5842,2128,3,3,831966,Woodland Hills,neighborhood
439 S Le Doux Rd APT 2,90048,Los Angeles,MultiFamily2To4,NA,NA,NA,NA,650,1,1,2308288,Mid City West,neighborhood
439 S Le Doux Rd APT 6,90048,Los Angeles,Apartment,NA,NA,NA,NA,NA,2,2,NA,Mid City West,neighborhood
439 S Le Doux Rd APT 3,90048,Los Angeles,Apartment,NA,NA,NA,NA,NA,1,1,NA,Mid City West,neighborhood
439 S Le Doux Rd APT 5,90048,Los Angeles,MultiFamily2To4,NA,NA,NA,NA,NA,2,2,2621667,Mid City West,neighborhood
439 S Le Doux Rd APT 10,90048,Los Angeles,MultiFamily2To4,NA,NA,NA,NA,NA,2,2,2621667,Mid City West,neighborhood
439 S Le Doux Rd APT 1,90048,Los Angeles,MultiFamily2To4,NA,NA,NA,NA,1100,2,2,2489341,Mid City West,neighborhood
439 S Le Doux Rd APT 7,90048,Los Angeles,MultiFamily2To4,NA,NA,NA,NA,600,1,1,2307555,Mid City West,neighborhood
439 S Le Doux Rd APT 9,90048,Los Angeles,MultiFamily2To4,NA,NA,NA,NA,NA,2,2,2621667,Mid City West,neighborhood
1207 W 58th Pl,90044,LOS ANGELES,SingleFamily,2018,346800,1921,4808,1144,1,2,428899,South Los Angeles,neighborhood
11424 Killion St APT 2,91601,North Hollywood,Apartment,NA,NA,NA,NA,NA,1,1,NA,North Hollywood,neighborhood
11424 Killion St APT 4,91601,North Hollywood,Apartment,NA,NA,NA,NA,NA,1,1,NA,North Hollywood,neighborhood
11424 Killion St APT 5,91601,North Hollywood,Apartment,NA,NA,NA,NA,600,1,1,NA,North Hollywood,neighborhood
13059 Weidner St,91331,PACOIMA,SingleFamily,2018,427e3,1952,6236,1096,1,3,466909,Pacoima,neighborhood
944 Farnam St,90042,LOS ANGELES,Duplex,2018,55096,1930,6620,2170,2,4,966865,Highland Park,neighborhood
1461 S Shenandoah St,90035,LOS ANGELES,Duplex,2018,312943,1929,6500,2842,2,6,1891583,Pico-Robertson,neighborhood
2415 N Commonwealth Ave,90027,LOS ANGELES,SingleFamily,2018,204255,1921,9166,4397,2,2,3105218,Los Feliz,neighborhood
14944 Rhinestone Dr,91403,SHERMAN OAKS,SingleFamily,2018,605243,1957,16818,2085,2,3,1494593,Sherman Oaks,neighborhood
1316 W 41st St,90037,LOS ANGELES,Triplex,2018,218984,1920,6405,1772,3,3,563261,South Los Angeles,neighborhood
1463 Ravenna Ave,90744,WILMINGTON,SingleFamily,2018,183680,1925,5550,1305,1,2,474825,Wilmington,neighborhood
13680 Weidner St,91331,PACOIMA,SingleFamily,2018,228028,1955,5357,714,1,2,338893,Pacoima,neighborhood
7647 Melvin Ave,91335,RESEDA,SingleFamily,2018,55964,1952,7917,1133,1,3,515186,Reseda,neighborhood
5757 Corbett St,90016,LOS ANGELES,Condominium,2018,9690,1948,41925,947,1,2,485200,West Adams,neighborhood
5757 1/2 Corbett St,90016,LOS ANGELES,Condominium,2018,8379,1948,41925,647,1,1,429142,West Adams,neighborhood
13070 Dickens St,91604,STUDIO CITY,SingleFamily,2018,130742,1940,7795,2242,3,4,1638494,Studio City,neighborhood
14374 Polk St,91342,SYLMAR,SingleFamily,2018,236178,1979,20024,2004,2,3,619066,Sylmar,neighborhood
3612 Kelton Ave,90034,LOS ANGELES,SingleFamily,2018,902700,2018,4660,3387,6,8,2259847,Palms,neighborhood
5167 Llano Dr,91364,WOODLAND HILLS,SingleFamily,2018,811e3,1955,5724,2310,3,4,881805,Woodland Hills,neighborhood
1940 City View Ave,90033,LOS ANGELES,SingleFamily,2018,33773,1922,3999,960,1,3,475297,Boyle Heights,neighborhood
1657 S Wilton Pl,90019,Los Angeles,SingleFamily,NA,NA,NA,NA,1e3,1.5,2,770479,Arlington Heights,neighborhood
7518 Agnew Ave,90045,LOS ANGELES,SingleFamily,2018,2104e3,2005,6174,3352,4,4,2047013,Westchester,neighborhood
7518 Dunbarton Ave,90045,LOS ANGELES,SingleFamily,2018,922855,1949,5751,1996,3,3,1409871,Westchester,neighborhood
17429 Cantara St,91325,NORTHRIDGE,SingleFamily,2018,586500,1951,5937,1354,2,3,583914,Lake Balboa,neighborhood
244 S Alexandria Ave,90004,LOS ANGELES,MultiFamily2To4,2018,1175652,1923,8698,4228,4,8,2008418,Koreatown,neighborhood
4114 Hayvenhurst Dr,91436,ENCINO,SingleFamily,2018,776117,1956,13349,3297,3,4,2143358,Encino,neighborhood
4114 Hayvenhurst Ave,91436,ENCINO,SingleFamily,2018,230549,1955,18553,2488,2,4,1617853,Encino,neighborhood
1643 W 59th Pl,90047,LOS ANGELES,SingleFamily,2018,275972,1923,3350,1328,2,4,473688,South Los Angeles,neighborhood
782 Ranch Ln,90272,PACIFIC PALISADES,SingleFamily,2018,5886458,2012,9181,6008,5.5,6,7207391,Pacific Palisades,neighborhood
782 Radcliffe Ave,90272,PACIFIC PALISADES,SingleFamily,2018,275452,1950,6412,2345,3,3,3150851,Pacific Palisades,neighborhood
782 Almar Ave,90272,PACIFIC PALISADES,SingleFamily,2018,1010098,1939,5620,1361,1,2,2468845,Pacific Palisades,neighborhood
501 W Olympic Blvd APT 1431,90015,Los Angeles,MultiFamily5Plus,NA,NA,NA,NA,900,2,2,NA,Downtown,neighborhood
501 W Olympic Blvd APT 212,90015,Los Angeles,MultiFamily5Plus,NA,NA,NA,NA,770,1,1,NA,Downtown,neighborhood
501 W Olympic Blvd APT 511,90015,Los Angeles,MultiFamily5Plus,NA,NA,NA,NA,568,1,1,NA,Downtown,neighborhood
501 W Olympic Blvd APT 821,90015,Los Angeles,MultiFamily5Plus,NA,NA,NA,NA,555,1,0,NA,Downtown,neighborhood
501 W Olympic Blvd APT 215,90015,Los Angeles,MultiFamily5Plus,NA,NA,NA,NA,570,1,0,NA,Downtown,neighborhood
501 W Olympic Blvd APT 311,90015,Los Angeles,MultiFamily5Plus,NA,NA,NA,NA,568,1,1,NA,Downtown,neighborhood
501 W Olympic Blvd APT 410,90015,Los Angeles,MultiFamily5Plus,NA,NA,NA,NA,580,1,1,NA,Downtown,neighborhood
501 W Olympic Blvd APT 627,90015,Los Angeles,MultiFamily5Plus,NA,NA,NA,NA,1255,2,2,NA,Downtown,neighborhood
501 W Olympic Blvd PH 1700,90015,Los Angeles,MultiFamily5Plus,NA,NA,NA,NA,1457,2,2,NA,Downtown,neighborhood
501 W Olympic Blvd APT 1134,90015,Los Angeles,MultiFamily5Plus,NA,NA,NA,NA,917,1,1,NA,Downtown,neighborhood
409 W Olympic Blvd APT 501,90015,Los Angeles,MultiFamily2To4,NA,NA,NA,NA,1900,1,0,923145,Downtown,neighborhood
3429 W Olympic Blvd APT 501,90019,Los Angeles,Condominium,2018,862491,NA,NA,NA,NA,0,765058,Mid City,neighborhood
501 W Olympic Blvd APT 1620,90015,Los Angeles,MultiFamily5Plus,NA,NA,NA,NA,535,1,0,NA,Downtown,neighborhood
501 W Olympic Blvd APT 310,90015,Los Angeles,Apartment,NA,NA,NA,NA,580,1,1,NA,Downtown,neighborhood
501 W Olympic Blvd APT 503,90015,Los Angeles,Apartment,NA,NA,NA,NA,570,1,0,NA,Downtown,neighborhood
501 W Olympic Blvd APT 307,90015,Los Angeles,Apartment,NA,NA,NA,NA,770,1,1,NA,Downtown,neighborhood
501 W Olympic Blvd APT 507,90015,Los Angeles,Apartment,NA,NA,NA,NA,770,1,1,NA,Downtown,neighborhood
501 W Olympic Blvd APT 510,90015,Los Angeles,Apartment,NA,NA,NA,NA,580,1,1,NA,Downtown,neighborhood
501 W Olympic Blvd APT 526,90015,Los Angeles,Apartment,NA,NA,NA,NA,488,1,0,NA,Downtown,neighborhood
501 W Olympic Blvd APT 220,90015,Los Angeles,Apartment,NA,NA,NA,NA,665,1,0,NA,Downtown,neighborhood
501 W Olympic Blvd APT 512,90015,Los Angeles,Apartment,NA,NA,NA,NA,770,1,1,NA,Downtown,neighborhood
501 W Olympic Blvd APT 823,90015,Los Angeles,Apartment,NA,NA,NA,NA,848,1,2,NA,Downtown,neighborhood
501 W Olympic Blvd APT 1031,90015,Los Angeles,Apartment,NA,NA,NA,NA,900,2,2,NA,Downtown,neighborhood
501 W Olympic Blvd APT 427,90015,Los Angeles,Apartment,NA,NA,NA,NA,1255,2,2,NA,Downtown,neighborhood
501 W Olympic Blvd APT 518,90015,Los Angeles,Apartment,NA,NA,NA,NA,770,1,1,NA,Downtown,neighborhood
536 N Gramercy Pl,90004,LOS ANGELES,Apartment,2018,1066828,1910,5181,1627,2,3,NA,Mid Wilshire,neighborhood
1107 W 41st St,90037,LOS ANGELES,SingleFamily,2018,229178,1912,6350,2e3,1,4,602529,South Los Angeles,neighborhood
10505 Haskell Ave,91344,Granada Hills,SingleFamily,NA,NA,NA,NA,1100,3,3,582306,Granada Hills,neighborhood
1839 1/2 Grace Ave,90028,Los Angeles,Apartment,NA,NA,1940,NA,1250,2,2,NA,Hollywood,neighborhood
1839 Grace Ave,90028,Hollywood,Apartment,NA,NA,1945,NA,1175,2,2,NA,Hollywood,neighborhood
3943 S Budlong Ave,90037,LOS ANGELES,MultiFamily2To4,2018,736052,1921,7019,4190,NA,5,1082497,South Los Angeles,neighborhood
4012 Scandia Way,90065,LOS ANGELES,SingleFamily,2018,870060,1958,6516,1092,1,2,832456,Glassell Park,neighborhood
10136 Silverton Ave,91042,Tujunga,MultiFamily5Plus,NA,NA,1964,6534,900,1.5,2,NA,Tujunga,neighborhood
10136 1/2 Mcclemont Ave,91042,Los Angeles,Triplex,2018,211872,1955,6014,1944,3,6,740631,Tujunga,neighborhood
4218 Ben Ave,91604,STUDIO CITY,SingleFamily,2018,425404,1937,6481,2389,2,4,1583656,Studio City,neighborhood
1832 Mount Shasta Dr,90732,SAN PEDRO,SingleFamily,2018,378324,1975,2953,1572,2.5,2,592219,San Pedro,neighborhood
2934 Stockbridge Ave,90032,LOS ANGELES,SingleFamily,2018,249441,1955,4800,1044,1,2,588517,El Sereno,neighborhood
7715 Bluebell Ave,91605,NORTH HOLLYWOOD,SingleFamily,2018,409397,1957,5955,1509,2,3,677408,Sun Valley,neighborhood
247 E 106th St,90003,LOS ANGELES,SingleFamily,2018,172785,1923,5507,1216,1,3,398551,Southeast Los Angeles,neighborhood
14242 Gruen St,91331,Arleta,SingleFamily,2018,169781,1953,5942,1591,2,3,539951,Arleta,neighborhood
1210 W 71st St,90044,LOS ANGELES,SingleFamily,2018,232682,1917,4791,1212,1,3,432420,South Los Angeles,neighborhood
415 Campdell St,90293,PLAYA DEL REY,SingleFamily,2018,95396,1949,6002,1355,2,4,1307453,Playa Del Rey,neighborhood
678 W 3rd St,90071,San Pedro,SingleFamily,2018,198696,1900,5009,824,1,2,474343,San Pedro,neighborhood
656 E 45th St,90011,LOS ANGELES,Duplex,2018,333609,1905,5439,1930,2,5,509817,Southeast Los Angeles,neighborhood
5709 Wallis Ln,91367,WOODLAND HILLS,SingleFamily,2018,118455,1961,11340,1800,3,3,828870,Woodland Hills,neighborhood
155 Entrada Dr APT 3,90402,Santa Monica,Apartment,NA,NA,NA,NA,360,1,0,NA,Pacific Palisades,neighborhood
155 Entrada Dr APT 8,90402,Santa Monica,Apartment,NA,NA,NA,NA,NA,1,0,NA,Pacific Palisades,neighborhood
155 Entrada Dr APT 4,90402,Santa Monica,Apartment,NA,NA,NA,NA,300,1,0,NA,Pacific Palisades,neighborhood
2222 7th Ave,90018,Los Angeles,SingleFamily,NA,NA,NA,NA,516,1,1,731291,Jefferson Park,neighborhood
2222 1/4 7th Ave,90018,Los Angeles,MultiFamily2To4,NA,NA,NA,NA,516,1,1,727947,Jefferson Park,neighborhood
559 W 20th St,90007,San Pedro,SingleFamily,2018,314392,1923,5082,916,1,2,500623,San Pedro,neighborhood
9306 Aqueduct Ave,91343,NORTH HILLS,SingleFamily,2018,413725,1989,5049,2484,3,3,693716,North Hills,neighborhood
3176 Stoner Ave,90066,LOS ANGELES,SingleFamily,2018,419009,1950,7430,1376,2,2,1664585,Mar Vista,neighborhood
1139 N Bronson Ave,90038,LOS ANGELES,Duplex,2018,95e4,1923,6734,2064,NA,NA,1296565,Hollywood,neighborhood
955 Roscomare Rd,90077,LOS ANGELES,SingleFamily,2018,1798713,1952,13360,2140,2.5,3,2916864,Bel Air,neighborhood
8957 Monogram Ave,91343,NORTH HILLS,SingleFamily,2018,274515,1956,7511,1470,2,3,625391,North Hills,neighborhood
5001 11th Ave,90043,LOS ANGELES,SingleFamily,2018,310855,1926,8399,2506,2,6,909329,Hyde Park,neighborhood
1830 Roosevelt Ave,90006,LOS ANGELES,SingleFamily,2018,354487,1908,5977,1956,1,3,769621,Harvard Heights,neighborhood
2700 Glendon Ave,90064,LOS ANGELES,SingleFamily,2018,176713,1945,5751,1252,2,3,1486094,Cheviot Hills,neighborhood
6516 W 84th Pl,90045,LOS ANGELES,SingleFamily,2018,718433,1944,6092,998,1,3,1001774,Westchester,neighborhood
1326 N Flores Street # FL 2ND,90069,West Hollywood,Apartment,NA,NA,NA,NA,NA,1,1,NA,West Hollywood,city
1389 Claridge Dr,90210,BEVERLY HILLS,SingleFamily,2018,1003816,1980,5760,3157,3,4,3230301,Beverly Crest,neighborhood
10026 Sepulveda Blvd APT 105,91345,Los angeles,Condominium,2018,318504,1978,22335,1177,2,2,355850,Mission Hills,neighborhood
1078 Maybrook Dr,90210,BEVERLY HILLS,SingleFamily,2018,395350,1970,11282,4135,5,5,5024114,Beverly Crest,neighborhood
4543 El Reposo Dr,90065,LOS ANGELES,SingleFamily,2018,95751,1963,6850,2344,3,4,1179332,Eagle Rock,neighborhood
5170 Baza Ave,91364,Woodland Hills,VacantResidentialLand,2018,42044,NA,8772,NA,NA,0,NA,Woodland Hills,neighborhood
5170 Baza Ave,91364,Woodland Hills,VacantResidentialLand,NA,NA,NA,8772,NA,NA,0,NA,Woodland Hills,neighborhood
10527 Vanalden Ave,91326,PORTER RANCH,SingleFamily,2018,579155,1973,11618,1950,2,4,792287,Northridge,neighborhood
10527 Owensmouth Ave,91311,CHATSWORTH,SingleFamily,2018,253923,1961,7961,1342,2,3,580053,Chatsworth,neighborhood
19308 Los Alimos St,91326,PORTER RANCH,SingleFamily,2018,676259,1964,7797,2154,2,4,748749,Northridge,neighborhood
4324 5th Ave,90008,LOS ANGELES,SingleFamily,2018,230853,1935,4147,1370,1,3,687507,Leimert Park,neighborhood
4158 S Hobart Blvd,90062,LOS ANGELES,SingleFamily,2018,123781,1922,5199,988,1,2,615642,South Los Angeles,neighborhood
12119 Cantura St,91604,STUDIO CITY,SingleFamily,2018,687177,1938,5199,1584,2,3,1219815,Studio City,neighborhood
15727 Chatsworth St,91344,GRANADA HILLS,SingleFamily,2018,45e4,1954,7198,1189,2,3,545312,Granada Hills,neighborhood
2102 S Gaffey St,90731,SAN PEDRO,Apartment,2018,545295,1963,5e3,4114,1,2,NA,San Pedro,neighborhood
442 W 3rd St,90013,San Pedro,MultiFamily2To4,2018,166233,1961,4594,1536,2,4,531239,San Pedro,neighborhood
9101 S Hobart Blvd,90047,LOS ANGELES,SingleFamily,2018,48209,1938,5579,1154,1,2,458309,South Los Angeles,neighborhood
5829 Irvine Ave,91601,NORTH HOLLYWOOD,SingleFamily,2018,227743,1927,10193,1731,1.5,3,905041,North Hollywood,neighborhood
5936 W Sunset Blvd,90028,Los Angeles,SingleFamily,2018,3089988,1935,4672,4018,2,3,NA,Hollywood,neighborhood
11126 Odell Ave,91040,SUNLAND,SingleFamily,2018,317821,1959,6345,1296,2,3,638015,Sunland,neighborhood
754 E 78th St,90001,LOS ANGELES,SingleFamily,2018,19977,1923,5978,800,1,2,347325,Southeast Los Angeles,neighborhood
3120 Helms Ave,90034,LOS ANGELES,SingleFamily,2018,278880,1925,5124,1568,2,3,965321,Palms,neighborhood
641 E 85th St,90001,LOS ANGELES,SingleFamily,2018,141432,1927,5100,778,1,2,359341,Southeast Los Angeles,neighborhood
650 San Juan Ave # 1,90291,Venice,MultiFamily5Plus,NA,NA,1906,NA,1126,1,2,NA,Venice,neighborhood
650 San Juan Ave,90291,VENICE,SingleFamily,2018,346602,1921,5201,2642,3,4,3564620,Venice,neighborhood
10301 Magnolia Blvd UNIT 102,91601,North Hollywood,Apartment,NA,NA,NA,NA,NA,2,2,NA,North Hollywood,neighborhood
6110 Vineland Ave APT 3,91606,North Hollywood,Condominium,NA,NA,NA,NA,560,1,1,382852,North Hollywood,neighborhood
6110 Vineland Ave APT 7,91606,North Hollywood,Apartment,NA,NA,NA,NA,560,1,1,NA,North Hollywood,neighborhood
131 E 51st St,90011,LOS ANGELES,SingleFamily,2018,203062,1908,6921,1500,1,4,446270,Southeast Los Angeles,neighborhood
9187 Arleta Ave,91331,Arleta,SingleFamily,2018,67817,1938,27442,1859,3,4,578322,Arleta,neighborhood
1821 W 50th St,90062,LOS ANGELES,Duplex,2018,324673,1931,7507,1962,2,5,613406,South Los Angeles,neighborhood
1629 W 45th St,90062,LOS ANGELES,SingleFamily,2018,53874,1911,5607,1605,1,2,559549,South Los Angeles,neighborhood
1648 W 218th St,90501,Torrance,Apartment,2018,676406,1955,18001,10567,14,21,NA,Harbor Gateway,neighborhood
1047 E 24th St,90011,LOS ANGELES,Duplex,2018,407338,1910,6490,2440,NA,6,604144,Central City,neighborhood
7358 Maynard Ave,91307,WEST HILLS,SingleFamily,2018,65663,1956,9299,1358,2,3,637640,West Hills,neighborhood
12060 Edgecliff Ave,91342,SYLMAR,SingleFamily,2018,344079,1997,20392,2360,3,5,687983,Sylmar,neighborhood
4812 Via Colina # C7,90042,Los Angeles,Townhouse,NA,NA,1978,NA,1332,2.5,3,590906,El Sereno,neighborhood
18628 Gault St,91335,RESEDA,SingleFamily,2018,266429,1946,5999,1199,1,3,520029,Reseda,neighborhood
4027 Scandia Way,90065,LOS ANGELES,SingleFamily,2018,496442,1938,6748,1014,1,2,816705,Glassell Park,neighborhood
7029 Yolanda Ave,91335,RESEDA,SingleFamily,2018,271694,1948,10454,1066,1,3,526822,Reseda,neighborhood
17036 Orozco St,91344,GRANADA HILLS,SingleFamily,2018,280647,1965,7983,2702,3,5,856306,Granada Hills,neighborhood
3641 Kelton Ave,90034,LOS ANGELES,Quadruplex,2018,420219,1957,4996,3592,4,6,1778675,Palms,neighborhood
5563 W Adams Blvd,90016,Los Angeles,VacantResidentialLand,2018,364140,NA,2499,NA,NA,0,NA,West Adams,neighborhood
5852 Bevis Ave,91411,VAN NUYS,SingleFamily,2018,206652,1956,6398,1277,2,3,739495,Sherman Oaks,neighborhood
6615 Willoughby Ave,90038,LOS ANGELES,SingleFamily,2018,320393,1922,4512,1444,3,3,1246912,Hollywood,neighborhood
1606 N Kingsley Dr,90027,LOS ANGELES,Duplex,2018,80315,1911,6753,3100,2,5,1361468,Hollywood,neighborhood
923 E 87th Pl,90002,LOS ANGELES,SingleFamily,2018,372793,1940,5103,1410,2,4,437537,Southeast Los Angeles,neighborhood
1305 S Patton Ave,90731,SAN PEDRO,SingleFamily,2018,662644,1928,6381,1652,2,3,777909,San Pedro,neighborhood
686 W 16th St,90731,SAN PEDRO,Duplex,2018,169166,1942,4500,1746,2,3,573491,San Pedro,neighborhood
3190 Carlyle St,90065,LOS ANGELES,SingleFamily,2018,200616,1920,6500,1665,1,2,866571,Glassell Park,neighborhood
2300 Micheltorena St,90039,LOS ANGELES,SingleFamily,2018,664294,1928,10488,3175,3,3,2353010,Silver Lake,neighborhood
1872 Heidleman Rd,90032,LOS ANGELES,SingleFamily,2018,145515,1940,7478,1676,2,4,681111,University Hills,neighborhood
18913 Vanowen St,91335,RESEDA,SingleFamily,2018,268089,1954,6634,1275,2,3,538031,Reseda,neighborhood
1482 Angelus Ave,90026,LOS ANGELES,SingleFamily,2018,1836e3,1963,7936,2320,3,3,1498591,Silver Lake,neighborhood
3213 W 73rd St APT 2,90043,Los Angeles,Apartment,NA,NA,NA,NA,NA,1,1,NA,Hyde Park,neighborhood
10955 Gerald Ave,91344,GRANADA HILLS,SingleFamily,2018,58981,1953,7512,1130,2,3,560164,Granada Hills,neighborhood
3209 W 2nd St,90004,Los Angeles,SingleFamily,NA,NA,1924,NA,800,1,1,849278,Rampart Village,neighborhood
5742 S Van Ness Ave,90062,LOS ANGELES,SingleFamily,2018,49102,1922,5206,1212,2,3,486573,South Los Angeles,neighborhood
1724 Wellington Rd,90019,LOS ANGELES,SingleFamily,2018,318627,1922,8946,2429,2,3,1099454,Mid City,neighborhood
11236 Orion Ave,91345,MISSION HILLS,SingleFamily,2018,228288,1955,7500,1318,2,4,554271,Mission Hills,neighborhood
156 E Martin Luther King Jr Blvd,90011,Los Angeles,SingleFamily,2018,406177,1901,7195,8108,NA,0,NA,Southeast Los Angeles,neighborhood
10740 Palms Blvd,90034,LOS ANGELES,SingleFamily,2018,53380,1939,4387,732,1,2,1017862,Palms,neighborhood
7367 W 82nd St,90045,LOS ANGELES,SingleFamily,2018,495178,1947,5594,1783,2,3,1342855,Playa Del Rey,neighborhood
5700 Ruthelen St,90062,LOS ANGELES,SingleFamily,2018,225748,1913,4200,1329,2,3,478875,South Los Angeles,neighborhood
3642 Amesbury Rd,90027,LOS ANGELES,SingleFamily,2018,1123219,1936,7482,2171,4,4,2252039,Los Feliz,neighborhood
148 W 50th St,90037,LOS ANGELES,MultiFamily2To4,2018,744e3,1918,5462,3146,4,10,702890,Southeast Los Angeles,neighborhood
10527 Lanark St,91352,SUN VALLEY,SingleFamily,2018,208595,1944,5644,1253,2,3,555077,Sun Valley,neighborhood
10766 Massachusetts Ave,90024,LOS ANGELES,SingleFamily,2018,137207,1945,6223,2077,3,3,2048599,Westwood,neighborhood
8675 Appian Way,90046,LOS ANGELES,VacantResidentialLand,2018,509295,1962,24212,1113,NA,2,NA,Beverly Crest,neighborhood
10437 Jellico Ave,91344,GRANADA HILLS,SingleFamily,2018,436205,1975,7658,2099,2,4,709608,Granada Hills,neighborhood
7672 Corbin Ave,91335,RESEDA,SingleFamily,2018,422504,1952,8276,1671,2,4,570841,Reseda,neighborhood
1712 W 152nd St,90247,GARDENA,SingleFamily,2018,72997,1953,6250,1459,2,3,610249,Gardena,city
2022 W 78th St,90047,LOS ANGELES,SingleFamily,2018,282822,1927,6705,1544,1,3,621401,South Los Angeles,neighborhood
867 E 52nd Pl,90011,LOS ANGELES,SingleFamily,2018,175587,1905,4600,1036,1,3,368538,Southeast Los Angeles,neighborhood
5821 Meridian St,90042,LOS ANGELES,SingleFamily,2018,130345,1925,2799,840,1,2,647116,Highland Park,neighborhood
8658 Lehigh Ave,91352,SUN VALLEY,SingleFamily,2018,267290,1926,6273,928,1,2,491974,Sun Valley,neighborhood
